term,crn,instructor,course,enrolled,responded,response_rate,percent_5,percent_4,percent_3,percent_2,percent_1,rating,A,B,C,D,F,average_gpa,start_time,duration,days,building,room,credits
Summer 2016,50147,Beall,BSC2012C,8,3,37.50,33.33,0.00,66.67,0.00,0.00,3.67,0,20,50,0,10,2.04,1430,100,MW,59,1701,4
Spring 2015,11307,Gibson,BSC2012C,11,8,72.73,50.00,37.50,12.50,0.00,0.00,4.38,7.69,46.15,15.38,0,15.38,2.25,1630,75,MW,59,1701,4
Spring 2016,10791,Hatle,BSC2012C,22,9,40.91,44.44,33.33,0.00,11.11,11.11,3.89,8.34,25,33.33,16.67,8.33,2.08,1630,75,MW,59,1701,4
Fall 2013,81443,Gibson,BSC2012C,23,16,69.57,25.00,25.00,25.00,18.75,6.25,3.44,13.049999,34.79,39.129997,8.7,4.35,2.47,1630,75,MW,59,1701,4
Summer 2012,51389,Colosimo,BSC2012C,19,18,94.74,66.67,16.67,5.56,0.00,0.00,4.69,31.579998,57.9,5.26,0,0,3.34,1430,100,MW,59,1701,4
Spring 2017,10624,Gibson,BSC2012C,21,6,28.57,16.67,0.00,16.67,33.33,33.33,2.33,4.17,37.5,37.5,8.33,0,2.51,1630,75,MW,59,1701,4
Spring 2014,10865,Gibson,BSC2012C,15,11,73.33,72.73,9.09,9.09,9.09,0.00,4.45,0,33.33,46.660004,6.67,13.33,2.06,1630,75,MW,59,1701,4
Fall 2016,81226,Gelsleichter,BSC2012C,20,6,30.00,66.67,16.67,16.67,0.00,0.00,4.50,4.55,50,27.279999,0,9.09,2.45,1630,75,MW,59,1701,4
Spring 2016,11153,Hatle,BSC2012C,20,9,45.00,44.44,11.11,33.33,0.00,11.11,3.78,12.5,29.16,25,4.17,12.5,2.29,1630,75,MW,59,1701,4
Fall 2016,81049,Gelsleichter,BSC2012C,23,11,47.83,72.73,27.27,0.00,0.00,0.00,4.73,8.33,58.34,20.83,0,8.33,2.70,1630,75,MW,59,1701,4
Fall 2015,82652,Rossi,BSC2012C,15,11,73.33,45.45,45.45,9.09,0.00,0.00,4.36,40,60,0,0,0,3.38,1215,75,TR,59,2703,4
